Range,Azimuth,Polar
  0.7617,  0.0000,110.0250,256 
  0.7852,  0.0000,110.2500,256 
  0.7617,  0.0000,110.4750,256 
  0.7617,  0.0000,110.7000,256 
  0.7734,  0.0000,110.9250,256 
  0.7617,  0.0000,111.1500,256 
  0.7734,  0.0000,111.3750,256 
  0.7500,  0.0000,111.6000,256 
  0.7969,  0.0000,111.8250,256 
  0.7734,  0.0000,112.0500,256 
  0.7734,  0.0000,112.2750,256 
  0.7617,  0.0000,112.5000,256 
  0.7734,  0.0000,112.7250,256 
  0.7969,  0.0000,112.9500,256 
  0.7734,  0.0000,113.1750,256 
  0.7891,  0.0000,113.4000,256 
  0.7500,  0.0000,113.6250,256 
  0.7656,  0.0000,113.8500,256 
  0.7969,  0.0000,114.0750,256 
  0.8203,  0.0000,114.3000,256 
  0.7656,  0.0000,114.5250,256 
  0.7969,  0.0000,114.7500,256 
  0.7969,  0.0000,114.9750,256 
  0.7969,  0.0000,115.2000,256 
  0.7891,  0.0000,115.4250,256 
  0.7969,  0.0000,115.6500,256 
  0.7969,  0.0000,115.8750,256 
  0.8125,  0.0000,116.1000,256 
  0.8125,  0.0000,116.3250,256 
  0.7891,  0.0000,116.5500,256 
  0.7891,  0.0000,116.7750,256 
  0.8125,  0.0000,117.0000,256 
  0.8125,  0.0000,117.2250,256 
  0.8125,  0.0000,117.4500,256 
  0.8125,  0.0000,117.6750,256 
  0.8359,  0.0000,117.9000,256 
  0.8125,  0.0000,118.1250,256 
  0.8125,  0.0000,118.3500,256 
  0.8125,  0.0000,118.5750,256 
  0.8125,  0.0000,118.8000,256 
  0.8125,  0.0000,119.0250,256 
  0.8008,  0.0000,119.2500,256 
  0.8242,  0.0000,119.4750,256 
  0.8242,  0.0000,119.7000,256 
  0.8242,  0.0000,119.9250,256 
  0.8125,  0.0000,120.1500,256 
  0.8008,  0.0000,120.3750,256 
  0.8242,  0.0000,120.6000,256 
  0.8242,  0.0000,120.8250,256 
  0.8242,  0.0000,121.0500,256 
  0.8125,  0.0000,121.2750,256 
  0.8398,  0.0000,121.5000,256 
  0.8398,  0.0000,121.7250,256 
  0.8477,  0.0000,121.9500,256 
  0.8242,  0.0000,122.1750,256 
  0.8398,  0.0000,122.4000,256 
  0.8477,  0.0000,122.6250,256 
  0.8477,  0.0000,122.8500,256 
  0.8477,  0.0000,123.0750,256 
  0.8398,  0.0000,123.3000,256 
  0.8398,  0.0000,123.5250,256 
  0.8594,  0.0000,123.7500,256 
  0.8477,  0.0000,123.9750,256 
  0.8398,  0.0000,124.2000,256 
  0.8594,  0.0000,124.4250,256 
  0.8594,  0.0000,124.6500,256 
  0.8477,  0.0000,124.8750,256 
  0.8398,  0.0000,125.1000,256 
  0.8594,  0.0000,125.3250,256 
  0.8672,  0.0000,125.5500,256 
  0.8789,  0.0000,125.7750,256 
  0.8672,  0.0000,126.0000,256 
  0.8594,  0.0000,126.2250,256 
  0.8672,  0.0000,126.4500,256 
  0.8594,  0.0000,126.6750,256 
  0.7734,  0.0000,126.9000,256 
  0.7031,  0.0000,127.1250,256 
  0.6914,  0.0000,127.3500,256 
  0.6445,  0.0000,127.5750,256 
  0.6250,  0.0000,127.8000,256 
  0.5586,  0.0000,128.0250,256 
  0.5078,  0.0000,128.2500,256 
  0.4609,  0.0000,128.4750,256 
  0.5078,  0.0000,128.7000,256 
  0.4609,  0.0000,128.9250,256 
  0.4844,  0.0000,129.1500,256 
  0.4844,  0.0000,129.3750,256 
  0.4609,  0.0000,129.6000,256 
  0.4609,  0.0000,129.8250,256 
  0.4609,  0.0000,130.0500,256 
  0.4844,  0.0000,130.2750,256 
  0.4609,  0.0000,130.5000,256 
  0.4844,  0.0000,130.7250,256 
  0.4609,  0.0000,130.9500,256 
  0.4609,  0.0000,131.1750,256 
  0.4844,  0.0000,131.4000,256 
  0.4609,  0.0000,131.6250,256 
  0.4609,  0.0000,131.8500,256 
  0.4844,  0.0000,132.0750,256 
  0.4844,  0.0000,132.3000,256 
  0.4609,  0.0000,132.5250,256 
  0.4609,  0.0000,132.7500,256 
  0.4609,  0.0000,132.9750,256 
  0.4375,  0.0000,133.2000,256 
  0.4375,  0.0000,133.4250,256 
  0.4609,  0.0000,133.6500,256 
  0.4609,  0.0000,133.8750,256 
  0.4609,  0.0000,134.1000,256 
  0.4375,  0.0000,134.3250,256 
  0.4609,  0.0000,134.5500,256 
  0.4609,  0.0000,134.7750,256 
  0.4609,  0.0000,135.0000,256 
  0.4375,  0.0000,135.2250,256 
  0.4375,  0.0000,135.4500,256 
  0.4375,  0.0000,135.6750,256 
  0.4609,  0.0000,135.9000,256 
  0.4375,  0.0000,136.1250,256 
  0.4609,  0.0000,136.3500,256 
  0.4375,  0.0000,136.5750,256 
  0.4609,  0.0000,136.8000,256 
  0.4414,  0.0000,137.0250,256 
  0.4375,  0.0000,137.2500,256 
  0.4375,  0.0000,137.4750,256 
  0.4609,  0.0000,137.7000,256 
  0.4375,  0.0000,137.9250,256 
  0.4609,  0.0000,138.1500,256 
  0.4609,  0.0000,138.3750,256 
  0.4609,  0.0000,138.6000,256 
  0.4609,  0.0000,138.8250,256 
  0.4414,  0.0000,139.0500,256 
  0.4609,  0.0000,139.2750,256 
  0.4609,  0.0000,139.5000,256 
  0.4375,  0.0000,139.7250,256 
  0.4414,  0.0000,139.9500,256 
  0.4375,  0.0000,140.1750,256 
  0.4180,  0.0000,140.4000,256 
  0.4609,  0.0000,140.6250,256 
  0.4414,  0.0000,140.8500,256 
  0.4375,  0.0000,141.0750,256 
  0.4414,  0.0000,141.3000,256 
  0.4375,  0.0000,141.5250,256 
  0.4609,  0.0000,141.7500,256 
  0.4414,  0.0000,141.9750,256 
  0.4414,  0.0000,142.2000,256 
  0.4414,  0.0000,142.4250,256 
  0.4609,  0.0000,142.6500,256 
  0.4375,  0.0000,142.8750,256 
  0.4180,  0.0000,143.1000,256 
  0.4414,  0.0000,143.3250,256 
  0.4609,  0.0000,143.5500,256 
  0.4375,  0.0000,143.7750,256 
  0.4141,  0.0000,144.0000,256 
  0.4141,  0.0000,144.2250,256 
  0.4375,  0.0000,144.4500,256 
  0.3867,  0.0000,144.6750,256 
  0.4141,  0.0000,144.9000,256 
  0.4102,  0.0000,145.1250,256 
  0.3789,  0.0000,145.3500,256 
  0.3789,  0.0000,145.5750,256 
  0.3789,  0.0000,145.8000,256 
  0.3516,  0.0000,146.0250,256 
  0.3438,  0.0000,146.2500,256 
  0.3594,  0.0000,146.4750,256 
  0.3438,  0.0000,146.7000,256 
  0.3203,  0.0000,146.9250,256 
  0.3008,  0.0000,147.1500,256 
  0.2852,  0.0000,147.3750,256 
  0.3828,  0.0000,147.6000,256 
  0.4258,  0.0000,147.8250,256 
  0.4219,  0.0000,148.0500,256 
  0.3711,  0.0000,148.2750,256 
  0.3672,  0.0000,148.5000,256 
  0.4531,  0.0000,148.7250,256 
  0.4727,  0.0000,148.9500,256 
  0.4766,  0.0000,149.1750,256 
  0.5781,  0.0000,149.4000,256 
  0.7070,  0.0000,149.6250,256 
  0.7461,  0.0000,149.8500,256 
  0.8555,  0.0000,150.0750,256 
  0.8984,  0.0000,150.3000,256 
